时间,457+508,505+457+508,505+457
30.9,64.20190996,15.14501737,-4.582407232
31,60.44450916,12.95572081,-3.134946107
31.1,56.22521523,11.05051757,-1.301628913
31.2,51.57094104,9.419878841,0.88494662
31.3,46.51195805,8.046446455,3.383867554
31.4,41.08169744,6.905584994,6.146603152
31.5,35.31652644,5.966073647,9.117844109
31.6,29.25550124,5.190924832,12.23646975
31.7,22.94009827,4.538314504,15.43662717
31.8,16.4139257,3.962607104,18.64890441
31.9,9.722417137,3.415456486,21.80157804
32,2.912509877,2.846962818,24.82191422
32.1,-3.967690212,2.206864446,27.63750144
32.2,-10.86925451,1.445743082,30.17759231
32.3,-17.7427858,0.516220399,32.37443172
32.4,-24.53877801,-0.625875842,34.16454868
32.5,-31.20797905,-2.020397498,35.48998964
32.6,-37.70175388,-3.701834195,36.29947201
32.7,-43.97244509,-5.698363341,36.54943772
32.8,-49.97372846,-8.031009956,36.20498833
32.9,-55.66096054,-10.71293248,35.24068476
33,-60.9915158,-13.74884865,33.64119722
33.1,-65.92511068,-17.13461321,31.40179296
33.2,-70.424112,-20.85695678,28.52865221
33.3,-74.45382752,-24.8933924,25.0390054
33.4,-77.98277604,-29.21229357,20.96108755
33.5,-80.98293536,-33.77314468,16.33390883
33.6,-83.42996567,-38.52696184,11.20684305
33.7,-85.30340696,-43.41687915,5.639039025
33.8,-86.58684859,-48.37889271,-0.301337474
33.9,-87.26806973,-53.34275192,-6.538020609
34,-87.33914952,-58.23298499,-12.98770705
34.1,-86.79654585,-62.97004328,-19.56124858
34.2,-85.64114214,-67.47154697,-26.1649569
34.3,-83.87826165,-71.65361263,-32.70200088
34.4,-81.51764898,-75.43224168,-39.07387483
34.5,-78.5734188,-78.72474765,-45.18191518
34.6,-75.06397206,-81.4511991,-50.92884189
34.7,-71.01188025,-83.53585461,-56.22030037
34.8,-66.44373826,-84.90856619,-60.96637961
34.9,-61.38998702,-85.50612752,-65.0830823
35,-55.884707,-85.27354428,-68.4937233
35.1,-49.96538408,-84.16520462,-71.13023387
35.2,-43.6726493,-82.14592935,-72.93435025
35.3,-37.04999459,-79.19188296,-73.85866706
35.4,-30.14346618,-75.29132865,-73.86753765
35.5,-23.00133827,-70.4452129,-72.93780607
35.6,-15.67376893,-64.66756758,-71.05935776
35.7,-8.212441104,-57.98572018,-68.23547873
35.8,-0.670191085,-50.44030608,-64.48301603
35.9,6.899372718,-42.08507926,-59.83233514
36,14.4422579,-32.98652143,-54.32707334
36.1,21.90448027,-23.22325238,-48.02369091
36.2,29.23245712,-12.8852476,-40.9908254
36.3,36.37339885,-2.07287225,-33.30845721
36.4,43.27569581,9.104256571,-25.06689755
36.5,49.88929762,20.52856454,-16.36561276
36.6,56.16608207,32.07595452,-7.311901666
36.7,62.06021088,43.61736104,1.980555413
36.8,67.52846966,55.02040344,11.39325479
36.9,72.53058943,66.15111415,20.80451219
