time,high
586.5,-0.502
587,0.004
587.5,0.279
588,0.3
588.5,0.144
589,-0.017
589.5,-0.114
590,-0.167
590.5,-0.185
591,-0.169
591.5,-0.169
592,-0.25
592.5,-0.412
593,-0.664
593.5,-0.97
594,-1.272
594.5,-1.462
595,-1.505
595.5,-1.394
596,-1.176
596.5,-0.909
597,-0.664
597.5,-0.461
598,-0.32
598.5,-0.244
599,-0.23
599.5,-0.203
600,-0.155
600.5,-0.053
601,0.114
601.5,0.346
602,0.566
602.5,0.771
603,0.926
603.5,0.981
604,0.923
604.5,0.77
605,0.55
605.5,0.349
606,0.193
606.5,0.112
607,0.09
607.5,0.197
608,0.419
608.5,0.699
609,0.963
609.5,1.157
610,1.189
610.5,1.093
611,0.949
611.5,0.834
612,0.794
612.5,0.843
613,0.958
613.5,1.109
614,1.328
614.5,1.601
615,1.769
615.5,1.754
616,1.566
616.5,1.232
617,0.796
617.5,0.31
618,-0.196
618.5,-0.641
619,-0.963
619.5,-1.079
620,-0.926
620.5,-0.567
621,-0.069
621.5,0.424
622,0.809
622.5,1.058
623,1.174
623.5,1.131
624,0.942
624.5,0.673
625,0.437
625.5,0.306
626,0.305
626.5,0.402
627,0.526
627.5,0.673
628,0.805
628.5,0.877
629,0.855
629.5,0.716
630,0.479
630.5,0.181
631,-0.095
631.5,-0.217
632,-0.106
632.5,0.222
633,0.695
633.5,1.223
634,1.724
634.5,2.097
635,2.173
635.5,1.974
636,1.569
636.5,1.039
637,0.504
637.5,0.045
638,-0.31
638.5,-0.53
639,-0.675
639.5,-0.782
640,-0.849
640.5,-0.909
641,-0.965
641.5,-1.031
642,-1.103
642.5,-1.15
643,-1.2
643.5,-1.284
644,-1.389
644.5,-1.489
645,-1.532
645.5,-1.449
646,-1.23
646.5,-0.833
647,-0.321
647.5,0.207
648,0.632
648.5,0.852
649,0.847
649.5,0.636
650,0.324
650.5,-0.001
651,-0.205
651.5,-0.232
652,-0.084
652.5,0.201
653,0.601
653.5,1.043
654,1.365
654.5,1.484
655,1.328
655.5,0.979
656,0.541
656.5,0.109
657,-0.229
657.5,-0.458
658,-0.542
658.5,-0.513
659,-0.407
659.5,-0.249
660,-0.077
660.5,0.005
661,-0.007
661.5,-0.1
662,-0.288
662.5,-0.44
663,-0.491
663.5,-0.45
664,-0.296
664.5,-0.065
665,0.188
665.5,0.32
666,0.279
666.5,0.099
667,-0.134
667.5,-0.338
668,-0.44
668.5,-0.44
669,-0.348
669.5,-0.105
670,0.179
670.5,0.419
671,0.57
671.5,0.583
672,0.454
672.5,0.214
673,0.006
673.5,-0.133
674,-0.251
674.5,-0.391
675,-0.53
675.5,-0.64
676,-0.662
676.5,-0.623
677,-0.664
677.5,-0.76
678,-0.835
678.5,-0.827
679,-0.741
679.5,-0.583
680,-0.382
680.5,-0.166
681,0.058
681.5,0.332
682,0.626
682.5,0.895
683,1.094
683.5,1.131
684,1.006
684.5,0.828
685,0.632
685.5,0.503
686,0.526
686.5,0.7
687,0.999
687.5,1.372
688,1.687
688.5,1.847
689,1.801
689.5,1.61
690,1.369
690.5,1.141
691,1.02
691.5,1.063
692,1.265
692.5,1.586
693,1.879
693.5,1.999
694,1.888
694.5,1.577
695,1.133
695.5,0.69
696,0.405
696.5,0.346
697,0.469
697.5,0.676
698,0.905
698.5,1.072
699,1.091
699.5,0.918
700,0.556
700.5,0.031
701,-0.576
701.5,-1.065
702,-1.335
702.5,-1.357
703,-1.141
703.5,-0.769
704,-0.326
704.5,0.122
705,0.468
705.5,0.649
706,0.631
706.5,0.399
707,0.032
707.5,-0.358
708,-0.657
708.5,-0.827
709,-0.914
709.5,-0.883
710,-0.721
710.5,-0.451
711,-0.132
711.5,0.142
712,0.339
712.5,0.401
713,0.295
713.5,0.079
714,-0.203
714.5,-0.491
715,-0.748
715.5,-0.934
716,-1.027
716.5,-1.017
717,-0.91
717.5,-0.733
718,-0.535
718.5,-0.36
719,-0.219
719.5,-0.185
720,-0.222
720.5,-0.317
721,-0.505
721.5,-0.685
722,-0.793
722.5,-0.782
723,-0.643
723.5,-0.351
724,0.05
724.5,0.426
725,0.666
725.5,0.716
726,0.568
726.5,0.259
727,-0.143
727.5,-0.575
728,-1.04
728.5,-1.392
729,-1.538
729.5,-1.426
730,-1.084
730.5,-0.581
731,-0.025
731.5,0.503
732,0.904
732.5,1.125
733,1.087
733.5,0.775
734,0.255
734.5,-0.364
735,-0.949
735.5,-1.284
736,-1.309
736.5,-1.053
737,-0.585
737.5,-0.007
738,0.551
738.5,0.983
739,1.221
739.5,1.233
740,1.018
740.5,0.679
741,0.383
741.5,0.213
742,0.202
742.5,0.341
743,0.556
743.5,0.771
744,0.95
744.5,0.939
745,0.708
745.5,0.308
746,-0.181
746.5,-0.676
747,-1.078
747.5,-1.272
748,-1.217
748.5,-0.992
749,-0.678
749.5,-0.386
750,-0.185
750.5,-0.076
751,-0.087
751.5,-0.217
752,-0.342
752.5,-0.418
753,-0.433
753.5,-0.366
754,-0.254
754.5,-0.15
755,-0.109
755.5,-0.148
756,-0.264
756.5,-0.428
757,-0.578
757.5,-0.677
758,-0.739
758.5,-0.773
759,-0.781
759.5,-0.777
760,-0.762
760.5,-0.748
761,-0.759
761.5,-0.81
762,-0.882
762.5,-0.947
763,-0.995
763.5,-1.052
764,-1.084
764.5,-1.074
765,-1.132
765.5,-1.256
766,-1.384
766.5,-1.467
767,-1.498
767.5,-1.469
768,-1.377
768.5,-1.242
769,-1.084
769.5,-0.925
770,-0.821
770.5,-0.794
771,-0.783
771.5,-0.893
772,-1.124
772.5,-1.312
773,-1.387
773.5,-1.332
774,-1.172
774.5,-0.927
775,-0.653
775.5,-0.41
776,-0.289
776.5,-0.32
777,-0.428
777.5,-0.525
778,-0.615
778.5,-0.75
779,-0.824
779.5,-0.789
780,-0.607
780.5,-0.288
781,0.104
781.5,0.485
782,0.785
782.5,0.967
783,0.982
783.5,0.842
784,0.582
784.5,0.15
785,-0.427
785.5,-0.92
786,-1.155
786.5,-1.107
787,-0.799
787.5,-0.353
788,0.143
788.5,0.634
789,1.054
789.5,1.283
790,1.263
790.5,1.031
791,0.681
791.5,0.316
792,0.052
792.5,-0.045
793,-0.041
793.5,0.026
794,0.131
794.5,0.235
795,0.311
795.5,0.254
796,0.027
796.5,-0.344
797,-0.737
797.5,-1.05
798,-1.202
798.5,-1.158
799,-0.991
799.5,-0.747
800,-0.472
800.5,-0.219
801,-0.034
801.5,0.078
802,0.112
802.5,0.083
803,0.068
803.5,0.099
804,0.169
804.5,0.301
805,0.469
805.5,0.632
806,0.754
806.5,0.816
807,0.792
807.5,0.629
808,0.346
808.5,0.001
809,-0.337
809.5,-0.602
810,-0.759
810.5,-0.782
811,-0.704
811.5,-0.574
812,-0.474
812.5,-0.443
813,-0.429
813.5,-0.446
814,-0.481
814.5,-0.478
815,-0.376
815.5,-0.179
816,0.067
816.5,0.314
817,0.514
817.5,0.627
818,0.656
818.5,0.618
819,0.574
819.5,0.565
820,0.626
820.5,0.685
821,0.734
821.5,0.769
822,0.788
822.5,0.79
823,0.776
823.5,0.688
824,0.573
824.5,0.532
825,0.592
825.5,0.712
826,0.885
826.5,1.026
827,1.078
827.5,1.011
828,0.839
828.5,0.578
829,0.28
829.5,0.009
830,-0.213
830.5,-0.35
831,-0.315
831.5,-0.155
832,-0.059
832.5,-0.1
833,-0.255
833.5,-0.509
834,-0.789
834.5,-1.038
835,-1.165
835.5,-1.137
836,-0.938
836.5,-0.542
837,0.011
837.5,0.653
838,1.238
838.5,1.605
839,1.671
839.5,1.507
840,1.163
840.5,0.694
841,0.159
841.5,-0.349
842,-0.693
842.5,-0.851
843,-0.819
843.5,-0.646
844,-0.435
844.5,-0.277
845,-0.19
845.5,-0.159
846,-0.134
846.5,-0.058
847,0.059
847.5,0.196
848,0.307
848.5,0.399
849,0.461
849.5,0.493
850,0.489
850.5,0.452
851,0.477
851.5,0.612
852,0.802
852.5,0.965
853,1.061
853.5,1.082
854,0.971
854.5,0.795
855,0.629
855.5,0.619
856,0.765
856.5,1.028
857,1.307
857.5,1.533
858,1.66
858.5,1.609
859,1.35
859.5,0.938
860,0.462
860.5,0.018
861,-0.316
861.5,-0.481
862,-0.485
862.5,-0.373
863,-0.266
863.5,-0.178
864,-0.118
864.5,-0.096
865,-0.115
865.5,-0.121
866,-0.068
866.5,0.043
867,0.191
867.5,0.35
868,0.54
868.5,0.739
869,0.925
869.5,1.055
870,1.128
870.5,1.09
871,0.93
871.5,0.662
872,0.337
872.5,0.021
873,-0.267
873.5,-0.517
874,-0.668
874.5,-0.674
875,-0.574
875.5,-0.432
876,-0.296
876.5,-0.191
877,-0.134
877.5,-0.143
878,-0.164
878.5,-0.216
879,-0.204
879.5,-0.086
880,0.12
880.5,0.371
881,0.623
881.5,0.816
882,0.87
882.5,0.8
883,0.595
883.5,0.293
884,-0.063
884.5,-0.406
885,-0.659
885.5,-0.775
886,-0.704
886.5,-0.494
887,-0.22
887.5,0.049
888,0.282
888.5,0.457
889,0.534
889.5,0.528
890,0.409
890.5,0.237
891,0.072
891.5,-0.043
892,-0.085
892.5,-0.084
893,-0.054
893.5,0.012
894,0.072
894.5,0.105
895,0.108
895.5,-0.014
896,-0.282
896.5,-0.698
897,-1.21
897.5,-1.721
898,-2.186
898.5,-2.518
899,-2.645
899.5,-2.627
900,-2.468
900.5,-2.194
901,-1.877
901.5,-1.549
902,-1.299
902.5,-1.174
903,-1.11
903.5,-1.081
904,-1.078
904.5,-1.075
905,-0.934
905.5,-0.624
906,-0.238
906.5,0.135
907,0.498
907.5,0.754
908,0.84
908.5,0.751
909,0.581
909.5,0.427
910,0.349
910.5,0.406
911,0.584
911.5,0.88
912,1.238
912.5,1.518
913,1.593
913.5,1.454
914,1.145
914.5,0.777
915,0.497
915.5,0.374
916,0.426
916.5,0.529
917,0.621
917.5,0.657
918,0.574
918.5,0.379
919,0.121
919.5,-0.143
920,-0.327
920.5,-0.335
921,-0.164
921.5,0.137
922,0.394
922.5,0.52
923,0.514
923.5,0.363
924,0.077
924.5,-0.285
925,-0.659
925.5,-1.005
926,-1.268
926.5,-1.411
927,-1.38
927.5,-1.242
928,-1.062
928.5,-0.878
929,-0.719
929.5,-0.513
930,-0.266
930.5,-0.017
931,0.212
931.5,0.419
932,0.595
932.5,0.795
933,1.046
933.5,1.308
934,1.538
934.5,1.66
935,1.666
935.5,1.579
936,1.426
936.5,1.234
937,1.003
937.5,0.787
938,0.587
938.5,0.428
939,0.307
939.5,0.213
940,0.106
940.5,-0.007
941,-0.109
941.5,-0.212
942,-0.307
942.5,-0.361
943,-0.361
943.5,-0.42
944,-0.571
944.5,-0.807
945,-1.107
945.5,-1.368
946,-1.523
946.5,-1.515
947,-1.338
947.5,-1.027
948,-0.658
948.5,-0.301
949,0.031
949.5,0.31
950,0.475
950.5,0.489
951,0.477
951.5,0.502
952,0.603
952.5,0.77
953,0.937
953.5,1.062
954,1.176
954.5,1.211
955,1.093
955.5,0.818
956,0.433
956.5,0.025
957,-0.423
957.5,-0.868
958,-1.229
958.5,-1.447
959,-1.511
959.5,-1.36
960,-1.019
960.5,-0.568
961,-0.121
961.5,0.166
962,0.293
962.5,0.284
963,0.178
963.5,0.018
964,-0.19
964.5,-0.296
965,-0.229
965.5,-0.003
966,0.357
966.5,0.812
967,1.282
967.5,1.643
968,1.875
968.5,1.992
969,1.878
969.5,1.517
970,0.99
970.5,0.398
971,-0.154
971.5,-0.553
972,-0.788
972.5,-0.82
973,-0.632
973.5,-0.289
974,0.102
974.5,0.346
975,0.433
975.5,0.332
976,-0.02
976.5,-0.431
977,-0.769
977.5,-0.949
978,-0.926
978.5,-0.7
979,-0.328
979.5,0.207
980,0.803
980.5,1.318
981,1.656
981.5,1.794
982,1.758
982.5,1.569
983,1.258
983.5,0.932
984,0.544
984.5,0.173
985,-0.111
985.5,-0.276
986,-0.281
986.5,-0.134
987,0.009
987.5,0.11
988,0.156
988.5,0.133
989,0.021
989.5,-0.165
990,-0.43
990.5,-0.701
991,-0.905
991.5,-0.903
992,-0.709
992.5,-0.415
993,-0.088
993.5,0.193
994,0.364
994.5,0.439
995,0.394
995.5,0.234
996,-0.003
996.5,-0.275
997,-0.628
997.5,-1.019
998,-1.388
998.5,-1.654
999,-1.763
999.5,-1.669
1000,-1.358
1000.5,-0.827
1001,-0.167
1001.5,0.539
1002,1.18
1002.5,1.638
1003,1.835
1003.5,1.748
1004,1.417
1004.5,0.988
1005,0.636
1005.5,0.451
1006,0.486
1006.5,0.74
1007,1.118
1007.5,1.573
1008,1.965
1008.5,2.173
1009,2.102
1009.5,1.749
1010,1.076
1010.5,0.186
1011,-0.766
1011.5,-1.602
1012,-2.123
1012.5,-2.173
1013,-1.754
1013.5,-1.001
1014,-0.095
1014.5,0.781
1015,1.435
1015.5,1.729
1016,1.664
1016.5,1.274
1017,0.633
1017.5,0.029
1018,-0.371
1018.5,-0.448
1019,-0.287
1019.5,0.044
1020,0.394
1020.5,0.643
1021,0.711
1021.5,0.586
1022,0.325
1022.5,-0.028
1023,-0.399
1023.5,-0.735
1024,-0.96
1024.5,-1.013
1025,-0.926
1025.5,-0.729
1026,-0.476
1026.5,-0.052
1027,0.482
1027.5,0.989
1028,1.338
1028.5,1.469
1029,1.369
1029.5,1.091
1030,0.706
1030.5,0.296
1031,-0.094
1031.5,-0.404
1032,-0.63
1032.5,-0.806
1033,-0.913
1033.5,-0.942
1034,-0.96
1034.5,-0.977
1035,-0.968
1035.5,-0.881
1036,-0.607
1036.5,-0.183
1037,0.246
1037.5,0.561
1038,0.698
1038.5,0.674
1039,0.515
1039.5,0.318
1040,0.2
1040.5,0.195
1041,0.367
1041.5,0.674
1042,1.024
1042.5,1.321
1043,1.429
1043.5,1.196
1044,0.706
1044.5,0.07
1045,-0.611
1045.5,-1.212
1046,-1.615
1046.5,-1.73
1047,-1.587
1047.5,-1.262
1048,-0.829
1048.5,-0.443
1049,-0.166
1049.5,-0.023
1050,-0.017
1050.5,-0.083
1051,-0.162
1051.5,-0.268
1052,-0.389
1052.5,-0.468
1053,-0.476
1053.5,-0.41
1054,-0.314
1054.5,-0.146
1055,0.058
1055.5,0.241
1056,0.363
1056.5,0.443
1057,0.486
1057.5,0.479
1058,0.449
1058.5,0.388
1059,0.306
1059.5,0.25
1060,0.247
1060.5,0.288
1061,0.403
1061.5,0.588
1062,0.77
1062.5,0.964
1063,1.152
1063.5,1.299
1064,1.322
1064.5,1.188
1065,0.912
1065.5,0.564
1066,0.248
1066.5,0.029
1067,-0.071
1067.5,-0.044
1068,0.104
1068.5,0.294
1069,0.466
1069.5,0.593
1070,0.643
1070.5,0.604
1071,0.487
1071.5,0.327
1072,0.2
1072.5,0.145
1073,0.145
1073.5,0.145
1074,0.12
1074.5,0.086
1075,0.038
1075.5,0.037
1076,0.04
1076.5,0.03
1077,0.026
1077.5,0.027
1078,0.025
1078.5,-0.002
1079,-0.037
1079.5,-0.068
1080,-0.049
1080.5,0.019
1081,0.15
1081.5,0.263
1082,0.319
1082.5,0.326
1083,0.255
1083.5,0.179
1084,0.129
1084.5,0.135
1085,0.205
1085.5,0.326
1086,0.501
1086.5,0.679
1087,0.722
1087.5,0.555
1088,0.137
1088.5,-0.498
1089,-1.229
1089.5,-1.911
1090,-2.414
1090.5,-2.667
1091,-2.643
1091.5,-2.36
1092,-1.927
1092.5,-1.436
1093,-0.943
1093.5,-0.531
1094,-0.279
1094.5,-0.158
1095,-0.242
1095.5,-0.415
1096,-0.574
1096.5,-0.614
1097,-0.481
1097.5,-0.192
1098,0.191
1098.5,0.597
1099,0.972
1099.5,1.295
1100,1.526
1100.5,1.546
1101,1.325
1101.5,0.909
1102,0.387
1102.5,-0.05
1103,-0.396
1103.5,-0.667
1104,-0.845
1104.5,-0.947
1105,-0.978
1105.5,-0.939
1106,-0.845
1106.5,-0.771
1107,-0.788
1107.5,-0.85
1108,-0.899
1108.5,-0.926
1109,-0.886
1109.5,-0.742
1110,-0.519
1110.5,-0.194
1111,0.235
1111.5,0.712
1112,1.061
1112.5,1.187
1113,1.123
1113.5,0.891
1114,0.555
1114.5,0.181
1115,-0.219
1115.5,-0.566
1116,-0.774
1116.5,-0.851
1117,-0.839
1117.5,-0.756
1118,-0.62
1118.5,-0.466
1119,-0.337
1119.5,-0.173
1120,0.072
1120.5,0.315
1121,0.482
1121.5,0.555
1122,0.486
1122.5,0.223
1123,-0.233
1123.5,-0.796
1124,-1.306
1124.5,-1.637
1125,-1.727
1125.5,-1.634
1126,-1.354
1126.5,-0.919
1127,-0.419
1127.5,0
1128,0.239
1128.5,0.286
1129,0.149
1129.5,-0.088
1130,-0.309
1130.5,-0.396
1131,-0.316
1131.5,-0.127
1132,0.085
1132.5,0.218
1133,0.299
1133.5,0.284
1134,0.16
1134.5,-0.044
1135,-0.294
1135.5,-0.542
1136,-0.736
1136.5,-0.84
1137,-0.827
1137.5,-0.715
1138,-0.572
1138.5,-0.439
1139,-0.341
1139.5,-0.278
1140,-0.216
1140.5,-0.081
1141,0.125
1141.5,0.4
1142,0.673
1142.5,0.891
1143,0.93
1143.5,0.759
1144,0.42
1144.5,-0.011
1145,-0.417
1145.5,-0.681
1146,-0.743
1146.5,-0.598
1147,-0.293
1147.5,0.113
1148,0.467
1148.5,0.701
1149,0.755
1149.5,0.645
1150,0.352
1150.5,0.002
1151,-0.304
1151.5,-0.513
1152,-0.596
1152.5,-0.516
1153,-0.302
1153.5,-0.014
1154,0.288
1154.5,0.622
1155,0.959
1155.5,1.237
1156,1.377
1156.5,1.336
1157,1.145
1157.5,0.882
1158,0.616
1158.5,0.426
1159,0.328
1159.5,0.385
