3ji,4ji,5ji,,,
-0.269322716,-0.390107187,-1.205625799,,,
-0.261333872,-0.329492401,-1.171557423,,,
-0.252478402,-0.268273081,-1.132692708,,,
-0.242572798,-0.206921891,-1.089362598,,,
-0.231414188,-0.1458987,-1.041910396,,,
-0.218785698,-0.085647629,-0.99068966,,,
-0.204462524,-0.026594336,-0.936062135,,,
-0.18821859,0.030856449,-0.87839573,,,
-0.16983367,0.086323145,-0.818062558,,,
-0.149100806,0.139449274,-0.75543703,,,
-0.12583387,0.189905159,-0.69089404,,,
-0.099875094,0.237389356,-0.624807213,,,
-0.071102392,0.281629841,-0.557547254,,,
-0.039436299,0.322384927,-0.489480379,,,
-0.004846355,0.359443952,-0.420966844,,,
0.032643233,0.392627717,-0.352359567,,,
0.072948804,0.421788708,-0.284002858,,,
0.115923473,0.4468111,-0.216231233,,,
0.161354495,0.467610554,-0.149368341,,,
0.208961872,0.484133834,-0.083725973,,,
0.258398266,0.496358243,-0.019603182,,,
0.309250292,0.504290905,0.042714521,,,
0.361041192,0.507967899,0.102955872,,,
0.413234912,0.507453261,0.16086448,,,
0.465241534,0.502837871,0.216199368,,,
0.516424017,0.494238237,0.268735447,,,
0.566106162,0.48179519,0.318263911,,,
0.613581691,0.465672498,0.364592573,,,
0.65812431,0.446055418,0.407546139,,,
0.698998605,0.423149188,0.446966426,,,
0.735471595,0.397177474,0.482712536,,,
0.766824761,0.368380782,0.514660979,,,
0.792366361,0.33701483,0.542705761,,,
0.811443806,0.303348906,0.566758434,,,
0.823455902,0.267664197,0.586748112,,,
0.827864747,0.230252111,0.60262147,,,
0.824207054,0.191412583,0.614342699,,,
0.812104727,0.151452367,0.621893456,,,
0.791274469,0.110683336,0.625272784,,,
0.761536245,0.069420761,0.624497011,,,
0.722820455,0.027981594,0.619599633,,,
0.675173633,-0.013317247,0.610631179,,,
0.618762572,-0.054160606,0.59765905,,,
0.553876757,-0.094236803,0.580767341,,,
0.480929025,-0.133239359,0.560056642,,,
0.400454393,-0.170868706,0.535643804,,,
0.313107034,-0.206833897,0.50766169,,,
0.219655382,-0.240854308,0.476258884,,,
0.120975401,-0.272661317,0.441599369,,,
0.018042067,-0.301999972,0.403862166,,,
-0.088080858,-0.328630631,0.36324093,,,
-0.196252667,-0.352330573,0.319943501,,,
-0.305269012,-0.372895562,0.274191397,,,
