lala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.063,2.11437,0.04709,3.191,2.24012,0.01562,,,,3.191,2.24012,,1.562,2.11437,,1.562,2.11437,,1.063,2.11437,,1.562,2.11437,,3.191,2.24012,,1.562,2.11437,,1.562,2.11437
1.013,2.17686,0.06249,3.288,2.30682,0.0667,,,,3.288,2.30682,,1.584,2.17686,,1.584,2.17686,,1.013,2.17686,,1.584,2.17686,,3.288,2.30682,,1.584,2.17686,,1.584,2.17686
0.976,2.23363,0.05677,3.369,2.3381,0.03128,,,,3.369,2.3381,,1.606,2.23363,,1.606,2.23363,,0.976,2.23363,,1.606,2.23363,,3.369,2.3381,,1.606,2.23363,,1.606,2.23363
0.942,2.27376,0.04013,3.468,2.40082,0.06272,,,,3.468,2.40082,,1.63,2.27376,,1.63,2.27376,,0.942,2.27376,,1.63,2.27376,,3.468,2.40082,,1.63,2.27376,,1.63,2.27376
0.92,2.33646,0.0627,3.557,2.46479,0.06397,,,,3.557,2.46479,,1.667,2.33646,,1.667,2.33646,,0.92,2.33646,,1.667,2.33646,,3.557,2.46479,,1.667,2.33646,,1.667,2.33646
0.907,2.40022,0.06376,3.64,2.5273,0.06251,,,,3.64,2.5273,,1.708,2.40022,,1.708,2.40022,,0.907,2.40022,,1.708,2.40022,,3.64,2.5273,,1.708,2.40022,,1.708,2.40022
0.9,2.46271,0.06249,3.718,2.5898,0.0625,,,,3.718,2.5898,,1.753,2.46271,,1.753,2.46271,,0.9,2.46271,,1.753,2.46271,,3.718,2.5898,,1.753,2.46271,,1.753,2.46271
0.904,2.54066,0.07795,3.782,2.6523,0.0625,,,,3.782,2.6523,,1.803,2.54066,,1.803,2.54066,,0.904,2.54066,,1.803,2.54066,,3.782,2.6523,,1.803,2.54066,,1.803,2.54066
0.919,2.5721,0.03144,3.839,2.69918,0.04688,,,,3.839,2.69918,,1.845,2.5721,,1.845,2.5721,,0.919,2.5721,,1.845,2.5721,,3.839,2.69918,,1.845,2.5721,,1.845,2.5721
0.938,2.63441,0.06231,3.895,2.76169,0.06251,,,,3.895,2.76169,,1.895,2.63441,,1.895,2.63441,,0.938,2.63441,,1.895,2.63441,,3.895,2.76169,,1.895,2.63441,,1.895,2.63441
0.964,2.68148,0.04707,3.945,2.82421,0.06252,,,,3.945,2.82421,,1.941,2.68148,,1.941,2.68148,,0.964,2.68148,,1.941,2.68148,,3.945,2.82421,,1.941,2.68148,,1.941,2.68148
1.006,2.7284,0.04692,3.983,2.9021,0.07789,,,,3.983,2.9021,,1.988,2.7284,,1.988,2.7284,,1.006,2.7284,,1.988,2.7284,,3.983,2.9021,,1.988,2.7284,,1.988,2.7284
1.05,2.79086,0.06246,4.005,2.94918,0.04708,,,,4.005,2.94918,,2.045,2.79086,,2.045,2.79086,,1.05,2.79086,,2.045,2.79086,,4.005,2.94918,,2.045,2.79086,,2.045,2.79086
1.107,2.82211,0.03125,4.024,2.98051,0.03133,,,,4.024,2.98051,,2.096,2.82211,,2.096,2.82211,,1.107,2.82211,,2.096,2.82211,,4.024,2.98051,,2.096,2.82211,,2.096,2.82211
1.172,2.8847,0.06259,4.038,3.05836,0.07785,,,,4.038,3.05836,,2.164,2.8847,,2.164,2.8847,,1.172,2.8847,,2.164,2.8847,,4.038,3.05836,,2.164,2.8847,,2.164,2.8847
1.242,2.94712,0.06242,4.044,3.0742,0.01584,,,,4.044,3.0742,,2.236,2.94712,,2.236,2.94712,,1.242,2.94712,,2.236,2.94712,,4.044,3.0742,,2.236,2.94712,,2.236,2.94712
1.32,3.00963,0.06251,4.038,3.1992,0.125,,,,4.038,3.1992,,2.293,3.00963,,2.293,3.00963,,1.32,3.00963,,2.293,3.00963,,4.038,3.1992,,2.293,3.00963,,2.293,3.00963
1.408,3.04068,0.03105,4.016,3.26171,0.06251,,,,4.016,3.26171,,2.352,3.04068,,2.352,3.04068,,1.408,3.04068,,2.352,3.04068,,4.016,3.26171,,2.352,3.04068,,2.352,3.04068
1.497,3.10338,0.0627,3.988,3.32421,0.0625,,,,3.988,3.32421,,2.417,3.10338,,2.417,3.10338,,1.497,3.10338,,2.417,3.10338,,3.988,3.32421,,2.417,3.10338,,2.417,3.10338
1.598,3.15026,0.04688,3.956,3.39027,0.06606,,,,3.956,3.39027,,2.472,3.15026,,2.472,3.15026,,1.598,3.15026,,2.472,3.15026,,3.956,3.39027,,2.472,3.15026,,2.472,3.15026
1.703,3.21275,0.06249,3.914,3.43718,0.04691,,,,3.914,3.43718,,2.542,3.21275,,2.542,3.21275,,1.703,3.21275,,2.542,3.21275,,3.914,3.43718,,2.542,3.21275,,2.542,3.21275
1.79,3.27525,0.0625,3.86,3.51566,0.07848,,,,3.86,3.51566,,2.615,3.27525,,2.615,3.27525,,1.79,3.27525,,2.615,3.27525,,3.86,3.51566,,2.615,3.27525,,2.615,3.27525
1.889,3.33778,0.06253,3.82,3.53256,0.0169,,,,3.82,3.53256,,2.682,3.33778,,2.682,3.33778,,1.889,3.33778,,2.682,3.33778,,3.82,3.53256,,2.682,3.33778,,2.682,3.33778
1.977,3.40008,0.0623,3.752,3.61072,0.07816,,,,3.752,3.61072,,2.75,3.40008,,2.75,3.40008,,1.977,3.40008,,2.75,3.40008,,3.752,3.61072,,2.75,3.40008,,2.75,3.40008
2.093,3.43151,0.03143,3.69,3.65755,0.04683,,,,3.69,3.65755,,2.806,3.43151,,2.806,3.43151,,2.093,3.43151,,2.806,3.43151,,3.69,3.65755,,2.806,3.43151,,2.806,3.43151
